month_date,month,room_type,listing_count,host_count,active_listing_count,avg_daily_rate_mean,avg_daily_rate_median,occupancy_mean,revenue_mean,revenue_median,revpar_mean,star_rating_mean,superhost_share,latitude_mean,longitude_mean
2024-02-01,2024-02,entire_home,413,375,283,240.27578692493947,185.0,0.06786198547215497,379.81113801452784,0.0,13.096935793604407,4.7296901408450704,0.29782082324455206,40.72614413392252,-73.94397367355933
2024-02-01,2024-02,hotel_room,4,4,3,376.25,243.95,0.0,0.0,0.0,0.0,4.7,0.25,40.748163500000004,-73.97429475
2024-02-01,2024-02,private_room,268,241,188,116.74962686567164,82.25,0.0741007462686567,246.73880597014926,0.0,8.508234688625837,4.690228310502284,0.23880597014925373,40.73181222376866,-73.93600146958956
2024-02-01,2024-02,shared_room,6,5,5,55.51666666666667,52.7,0.017166666666666667,9.333333333333334,0.0,0.3218390804597701,4.685,0.5,40.70746333333333,-73.87064666666667
2024-03-01,2024-03,entire_home,413,375,277,244.62397094430992,183.5,0.07638740920096852,526.4891041162227,0.0,16.98351948762009,4.7296901408450704,0.29782082324455206,40.72614413392252,-73.94397367355933
2024-03-01,2024-03,hotel_room,4,4,1,378.075,247.7,0.0565,378.25,0.0,12.201612903225804,4.7,0.25,40.748163500000004,-73.97429475
2024-03-01,2024-03,private_room,268,241,184,121.8731343283582,85.25,0.09160820895522387,368.76119402985074,0.0,11.895522388059701,4.690228310502284,0.23880597014925373,40.73181222376866,-73.93600146958956
2024-03-01,2024-03,shared_room,6,5,5,55.333333333333336,51.550000000000004,0.043000000000000003,37.666666666666664,0.0,1.2150537634408602,4.685,0.5,40.70746333333333,-73.87064666666667
2024-04-01,2024-04,entire_home,413,375,268,247.16125907990318,185.0,0.09217191283292979,618.5544794188862,0.0,20.618482647296204,4.7296901408450704,0.29782082324455206,40.72614413392252,-73.94397367355933
2024-04-01,2024-04,hotel_room,4,4,1,396.975,285.3,0.00825,86.75,0.0,2.8916666666666666,4.7,0.25,40.748163500000004,-73.97429475
2024-04-01,2024-04,private_room,268,241,178,123.97238805970149,85.15,0.07710447761194031,332.3059701492537,0.0,11.07686567164179,4.690228310502284,0.23880597014925373,40.73181222376866,-73.93600146958956
2024-04-01,2024-04,shared_room,6,5,5,55.083333333333336,52.15,0.0,0.0,0.0,0.0,4.685,0.5,40.70746333333333,-73.87064666666667
2024-05-01,2024-05,entire_home,192,172,162,239.15729166666665,184.3,0.16785416666666667,1253.6145833333333,0.0,40.43918010752688,4.779485714285714,0.3489583333333333,40.72398798078125,-73.94917120526041
2024-05-01,2024-05,hotel_room,1,1,1,303.1,303.1,0.452,4564.0,4564.0,147.2258064516129,4.9,0.0,40.737774,-73.953659
2024-05-01,2024-05,private_room,138,126,111,146.89710144927537,89.7,0.17295652173913043,820.695652173913,0.0,26.47405329593268,4.755983606557377,0.3188405797101449,40.731840822028985,-73.93856512086957
2024-05-01,2024-05,shared_room,2,2,2,70.44999999999999,70.44999999999999,0.1935,275.5,275.5,8.887096774193548,4.66,0.5,40.711765,-73.826705
2024-06-01,2024-06,entire_home,276,249,166,253.59528985507248,190.35,0.13876811594202898,882.8985507246376,0.0,29.42995169082126,4.76763948497854,0.33695652173913043,40.724830079202896,-73.94924933054348
2024-06-01,2024-06,hotel_room,1,1,1,310.8,310.8,0.133,1388.0,1388.0,46.266666666666666,4.9,0.0,40.737774,-73.953659
2024-06-01,2024-06,private_room,192,174,113,156.06927083333332,91.7,0.12536979166666667,512.71875,0.0,17.090625,4.764938271604938,0.3385416666666667,40.72981267057292,-73.93843568546875
2024-06-01,2024-06,shared_room,5,5,2,89.97999999999999,56.9,0.0,0.0,0.0,0.0,4.773333333333333,0.2,40.701262629999995,-73.894607804
2024-07-01,2024-07,entire_home,276,249,203,253.78804347826087,192.55,0.22955434782608694,1693.6557971014493,0.0,54.63405797101449,4.76763948497854,0.33695652173913043,40.724830079202896,-73.94924933054348
2024-07-01,2024-07,hotel_room,1,1,1,273.5,273.5,0.032,333.0,333.0,10.741935483870968,4.9,0.0,40.737774,-73.953659
