month_date,month,property_type,listing_count,host_count,active_listing_count,avg_daily_rate_mean,avg_daily_rate_median,occupancy_mean,revenue_mean,revenue_median,revpar_mean,star_rating_mean,superhost_share,latitude_mean,longitude_mean
2022-09-01,2022-09,Boutique & Hotels,36,30,35,393.0444444444445,360.8,0.42588888888888893,4893.083333333333,2963.0,163.10277777777776,4.500322580645161,0.16666666666666666,40.74610677777778,-73.96754108333333
2022-09-01,2022-09,House,126,114,115,189.3047619047619,119.9,0.6172063492063492,3998.6349206349205,2140.0,133.28783068783068,4.738725490196079,0.29365079365079366,40.71399863992063,-73.9036405165873
2022-09-01,2022-09,Others,20,20,18,153.675,112.9,0.7483,2719.6,2512.5,90.65333333333334,4.841764705882353,0.4,40.711024416,-73.9074431545
2022-10-01,2022-10,Apartment & Condo,574,518,513,194.26724738675958,155.89999999999998,0.5731445993031359,3392.806620209059,2449.5,109.44537484545353,4.7060751565762,0.2665505226480836,40.73096177841463,-73.94865744679443
2022-10-01,2022-10,Boutique & Hotels,36,30,34,376.57500000000005,341.05,0.3835277777777778,4755.277777777777,3005.5,153.39605734767025,4.500322580645161,0.16666666666666666,40.74610677777778,-73.96754108333333
2022-10-01,2022-10,House,126,114,113,184.67142857142855,124.5,0.5788492063492063,3710.0238095238096,2047.5,119.67818740399385,4.738725490196079,0.29365079365079366,40.71399863992063,-73.9036405165873
2022-10-01,2022-10,Others,20,20,18,153.07,110.85,0.7144999999999999,2711.95,2591.0,87.48225806451613,4.841764705882353,0.4,40.711024416,-73.9074431545
2022-11-01,2022-11,Apartment & Condo,574,518,506,193.46411149825784,150.35,0.4889198606271777,2836.4024390243903,1741.5,94.54674796747967,4.7060751565762,0.2665505226480836,40.73096177841463,-73.94865744679443
2022-11-01,2022-11,Boutique & Hotels,36,30,34,373.7638888888889,310.95,0.3119722222222222,3263.25,1806.5,108.77499999999999,4.500322580645161,0.16666666666666666,40.74610677777778,-73.96754108333333
2022-11-01,2022-11,House,126,114,110,183.35238095238097,123.5,0.5026269841269841,2838.2301587301586,1573.5,94.60767195767195,4.738725490196079,0.29365079365079366,40.71399863992063,-73.9036405165873
2022-11-01,2022-11,Others,20,20,18,151.865,110.95,0.605,2380.15,2041.5,79.33833333333334,4.841764705882353,0.4,40.711024416,-73.9074431545
2022-12-01,2022-12,Apartment & Condo,574,518,504,194.45017421602788,148.14999999999998,0.47667247386759587,3056.630662020906,1617.5,98.60098909744858,4.7060751565762,0.2665505226480836,40.73096177841463,-73.94865744679443
2022-12-01,2022-12,Boutique & Hotels,36,30,34,393.8361111111111,339.55,0.37897222222222227,4585.75,2970.0,147.92741935483872,4.500322580645161,0.16666666666666666,40.74610677777778,-73.96754108333333
2022-12-01,2022-12,House,126,114,111,191.52619047619046,125.05,0.512515873015873,3207.1825396825398,1571.5,103.45750128008191,4.738725490196079,0.29365079365079366,40.71399863992063,-73.9036405165873
2022-12-01,2022-12,Others,20,20,18,148.9,109.3,0.5789500000000001,2303.75,2248.0,74.31451612903226,4.841764705882353,0.4,40.711024416,-73.9074431545
2023-01-01,2023-01,Apartment & Condo,574,518,502,181.40087108013938,140.05,0.3069059233449477,1571.2543554006968,135.5,50.68562436776441,4.7060751565762,0.2665505226480836,40.73096177841463,-73.94865744679443
2023-01-01,2023-01,Boutique & Hotels,36,30,33,307.4527777777778,180.8,0.18563888888888888,999.9166666666666,529.5,32.255376344086024,4.500322580645161,0.16666666666666666,40.74610677777778,-73.96754108333333
2023-01-01,2023-01,House,126,114,109,185.6468253968254,120.6,0.3423174603174603,1793.8015873015872,555.5,57.86456733230927,4.738725490196079,0.29365079365079366,40.71399863992063,-73.9036405165873
2023-01-01,2023-01,Others,20,20,18,145.38,105.25,0.3742,1277.0,860.0,41.193548387096776,4.841764705882353,0.4,40.711024416,-73.9074431545
2023-02-01,2023-02,Apartment & Condo,574,518,500,175.23902439024388,135.5,0.28962891986062717,1159.1411149825783,0.0,41.39789696366352,4.7060751565762,0.2665505226480836,40.73096177841463,-73.94865744679443
2023-02-01,2023-02,Boutique & Hotels,36,30,34,295.5,182.3,0.21433333333333332,1118.9166666666667,872.0,39.961309523809526,4.500322580645161,0.16666666666666666,40.74610677777778,-73.96754108333333
2023-02-01,2023-02,House,126,114,108,176.12301587301587,120.95,0.29423015873015873,1411.3492063492063,0.0,50.40532879818594,4.738725490196079,0.29365079365079366,40.71399863992063,-73.9036405165873
2023-02-01,2023-02,Others,20,20,18,143.31,109.45,0.38565,1015.65,498.5,36.27321428571428,4.841764705882353,0.4,40.711024416,-73.9074431545
2023-03-01,2023-03,Apartment & Condo,574,518,498,197.81341463414634,145.55,0.32207839721254355,1527.5435540069686,0.0,49.275598516353824,4.7060751565762,0.2665505226480836,40.73096177841463,-73.94865744679443
